replicate_id,winner,plus4s_0,plus4s_1,plus4s_2,plus4s_3
0,2,0,0,0,0
1,3,1,0,0,0
2,1,1,0,1,0
3,2,0,0,1,0
4,0,1,0,0,2
5,2,1,1,1,0
6,0,0,0,1,0
7,2,0,1,3,0
8,1,0,0,1,0
9,1,0,2,1,0
10,2,0,0,0,1
11,3,0,0,0,0
12,1,0,2,0,0
13,1,0,2,0,0
14,2,0,1,0,0
15,2,0,0,1,1
16,3,0,1,1,0
17,1,0,0,1,0
18,3,0,1,0,0
19,1,0,0,0,1
20,1,0,0,1,1
21,3,0,0,0,0
22,0,0,0,2,0
23,1,0,0,0,0
24,2,1,0,1,0
25,3,0,1,0,1
26,3,0,1,0,0
27,1,0,1,0,0
28,2,0,0,0,0
29,2,1,0,1,0
30,1,0,1,0,0
31,0,0,0,0,0
32,2,1,0,0,0
33,2,0,0,0,0
34,0,1,0,2,0
35,3,1,0,0,1
36,3,0,1,0,0
37,2,1,1,1,1
38,2,1,0,0,1
39,2,0,0,0,0
40,1,1,0,0,0
41,0,1,0,0,1
42,0,1,0,0,0
43,1,0,1,1,0
44,0,1,1,0,0
45,3,0,2,0,0
46,1,1,0,0,0
47,1,0,0,0,0
48,2,0,0,0,1
49,2,0,0,1,0
50,2,0,0,0,0
51,2,0,0,0,0
52,3,0,0,0,1
53,3,0,0,0,1
54,1,0,1,0,0
55,1,1,0,0,1
56,1,0,0,1,0
57,2,2,0,0,0
58,1,0,1,0,0
59,0,0,0,1,1
60,3,0,0,0,0
61,1,0,0,0,0
62,0,0,0,0,0
63,0,0,0,1,1
64,2,1,1,0,0
65,1,0,0,1,0
66,0,0,0,0,0
67,1,0,0,0,0
68,1,0,0,0,1
69,3,0,0,1,1
70,0,0,0,1,1
71,2,0,0,0,0
72,0,0,1,0,1
73,1,1,0,0,0
74,1,0,0,0,0
75,2,0,0,1,1
76,2,0,1,1,0
77,0,0,0,0,0
78,1,0,0,0,0
79,1,1,1,0,1
80,0,0,0,0,0
81,3,0,1,0,0
82,3,0,0,0,1
83,1,0,0,1,1
84,3,1,0,0,1
85,2,0,1,0,0
86,3,0,0,0,1
87,0,0,0,0,0
88,1,0,0,0,0
89,1,0,1,1,0
90,1,0,1,0,1
91,3,0,0,0,0
92,1,0,0,0,0
93,0,0,1,0,1
94,2,0,0,0,0
95,3,1,0,0,0
96,0,0,0,0,1
97,0,0,0,1,1
98,1,0,2,1,1
99,1,0,1,0,0
100,3,1,0,0,0
101,2,0,0,2,1
102,1,0,0,0,0
103,0,0,0,0,0
104,0,0,0,0,0
