game_p_0,simu_p_0,game_p_1,simu_p_1,game_p_2,simu_p_2,game_p_3,simu_p_3
0.264,0.228,0.27,0.26,0.22,0.265,0.246,0.247
0.281,0.242,0.224,0.258,0.234,0.223,0.261,0.277
0.253,0.268,0.27,0.251,0.245,0.249,0.232,0.232
0.256,0.24,0.281,0.237,0.221,0.242,0.242,0.281
0.269,0.25,0.228,0.258,0.255,0.259,0.248,0.233
0.276,0.243,0.253,0.264,0.235,0.254,0.236,0.239
0.248,0.224,0.248,0.241,0.251,0.272,0.253,0.263
0.263,0.253,0.224,0.228,0.271,0.247,0.242,0.272
0.233,0.251,0.253,0.242,0.275,0.234,0.239,0.273
0.288,0.266,0.246,0.26,0.22,0.23,0.246,0.244
0.287,0.266,0.251,0.251,0.24,0.241,0.222,0.242
0.257,0.256,0.245,0.242,0.225,0.259,0.273,0.243
0.286,0.237,0.246,0.243,0.232,0.268,0.236,0.252
0.291,0.253,0.228,0.247,0.242,0.254,0.239,0.246
0.277,0.251,0.246,0.264,0.239,0.237,0.238,0.248
0.255,0.24,0.276,0.256,0.244,0.249,0.225,0.255
0.261,0.245,0.246,0.252,0.222,0.242,0.271,0.261
0.271,0.251,0.27,0.23,0.231,0.264,0.228,0.255
0.276,0.272,0.247,0.246,0.254,0.235,0.223,0.247
0.264,0.246,0.257,0.248,0.25,0.26,0.229,0.246
0.278,0.24,0.261,0.227,0.234,0.277,0.227,0.256
0.29,0.247,0.249,0.241,0.244,0.243,0.217,0.269
0.28,0.259,0.232,0.249,0.262,0.252,0.226,0.24
0.29,0.24,0.226,0.271,0.249,0.243,0.235,0.246
0.26,0.269,0.263,0.264,0.212,0.254,0.265,0.213
0.278,0.263,0.245,0.266,0.24,0.225,0.237,0.246
0.275,0.278,0.273,0.237,0.223,0.272,0.229,0.213
0.26,0.26,0.263,0.249,0.241,0.235,0.236,0.256
0.286,0.249,0.252,0.258,0.228,0.236,0.234,0.257
