game_p_0,simu_p_0,game_p_1,simu_p_1,game_p_2,simu_p_2,game_p_3,simu_p_3
0.251,0.234,0.263,0.245,0.253,0.253,0.233,0.268
0.266,0.248,0.244,0.252,0.239,0.247,0.251,0.253
0.241,0.263,0.237,0.241,0.236,0.252,0.286,0.244
0.232,0.242,0.268,0.274,0.262,0.255,0.238,0.229
0.26,0.258,0.24,0.287,0.246,0.224,0.254,0.231
0.257,0.264,0.265,0.264,0.243,0.221,0.235,0.251
0.247,0.245,0.257,0.265,0.242,0.251,0.254,0.239
0.25,0.259,0.267,0.256,0.25,0.257,0.233,0.228
0.247,0.273,0.243,0.26,0.281,0.23,0.229,0.237
0.248,0.241,0.224,0.246,0.275,0.246,0.253,0.267
0.22,0.254,0.277,0.241,0.252,0.245,0.251,0.26
0.253,0.244,0.254,0.242,0.253,0.285,0.24,0.229
0.227,0.241,0.257,0.281,0.255,0.236,0.261,0.242
0.24,0.236,0.245,0.259,0.255,0.244,0.26,0.261
0.244,0.244,0.254,0.267,0.262,0.247,0.24,0.242
0.247,0.266,0.263,0.237,0.245,0.243,0.245,0.254
0.242,0.254,0.249,0.25,0.258,0.223,0.251,0.273
0.236,0.253,0.254,0.288,0.241,0.239,0.269,0.22
0.25,0.248,0.267,0.231,0.25,0.283,0.233,0.238
0.25,0.237,0.26,0.266,0.256,0.243,0.234,0.254
0.258,0.246,0.244,0.27,0.248,0.239,0.25,0.245
0.256,0.252,0.258,0.26,0.238,0.229,0.248,0.259
0.261,0.239,0.231,0.256,0.249,0.251,0.259,0.254
0.262,0.25,0.234,0.229,0.266,0.252,0.238,0.269
0.239,0.26,0.26,0.282,0.269,0.222,0.232,0.236
0.257,0.222,0.235,0.271,0.254,0.262,0.254,0.245
0.237,0.27,0.266,0.226,0.247,0.256,0.25,0.248
0.248,0.255,0.243,0.246,0.246,0.247,0.263,0.252
0.245,0.253,0.233,0.223,0.261,0.262,0.261,0.262
0.264,0.262,0.256,0.232,0.233,0.26,0.247,0.246
0.283,0.266,0.237,0.256,0.244,0.227,0.236,0.251
0.252,0.259,0.255,0.242,0.24,0.263,0.253,0.236
0.265,0.229,0.261,0.25,0.245,0.269,0.229,0.252
0.259,0.284,0.241,0.217,0.263,0.243,0.237,0.256
0.244,0.257,0.249,0.249,0.27,0.249,0.237,0.245
